weight	distance	pearson
10	1	0.292962,0.007027
10	2	0.046186,0.007270
10	3	0.011383,0.006988
15	1	0.309733,0.006711
15	2	0.060868,0.007443
15	3	0.018019,0.006904
20	1	0.326574,0.006728
20	2	0.071668,0.007579
20	3	0.021660,0.006830
25	1	0.338154,0.006569
25	2	0.084110,0.007865
25	3	0.025799,0.006736
30	1	0.348836,0.006652
30	2	0.099574,0.008078
30	3	0.029152,0.006799
35	1	0.361662,0.006424
35	2	0.117351,0.007957
35	3	0.032128,0.006807
40	1	0.368207,0.006360
40	2	0.131789,0.007868
40	3	0.031641,0.006926
45	1	0.377325,0.006552
45	2	0.148792,0.007848
45	3	0.039589,0.006629
50	1	0.382758,0.006593
50	2	0.167389,0.008092
50	3	0.040479,0.006896
55	1	0.385385,0.006624
55	2	0.182506,0.008094
55	3	0.041580,0.007031
60	1	0.399706,0.006333
60	2	0.194511,0.007890
60	3	0.044086,0.006874
65	1	0.412772,0.006358
65	2	0.219649,0.008195
65	3	0.051292,0.006799
70	1	0.420258,0.006292
70	2	0.242624,0.007958
70	3	0.050286,0.006995
75	1	0.422758,0.006379
75	2	0.253946,0.007965
75	3	0.047197,0.006431
80	1	0.410062,0.006477
80	2	0.256530,0.007814
80	3	0.036755,0.006401
